yr,sex,FirstForename,number,rank,position
1980,B,David,1988,1,1
1980,B,John,1478,2,2
1980,B,Andrew,1293,3,3
1980,B,James,1194,4,4
1980,B,Christopher,1071,5,5
1980,B,Paul,1045,6,6
1980,B,Steven,954,7,7
1980,B,Kevin,825,8,8
1980,B,Robert,813,9,    9=
1980,B,Scott,813,9,    9=
1980,B,Craig,805,11,11
1980,B,Michael,775,12,12
1980,B,Mark,738,13,13
1980,B,Stuart,700,14,14
1980,B,Stephen,693,15,15
1980,B,Alan,664,16,16
1980,B,William,601,17,17
1980,B,Gary,559,18,18
1980,B,Ross,545,19,19
1980,B,Colin,542,20,20
1980,B,Brian,479,21,21
1980,B,Barry,471,22,22
1980,B,Richard,464,23,23
1980,B,Martin,458,24,24
1980,B,Thomas,450,25,25
1980,B,Neil,425,26,26
1980,B,Peter,394,27,27
1980,B,Iain,374,28,28
1980,B,Graeme,368,29,29
1980,B,Ian,361,30,30
1980,B,Gordon,359,31,31
1980,B,Alexander,351,32,32
1980,B,Ryan,336,33,33
1980,B,Derek,335,34,34
1980,B,Kenneth,319,35,35
1980,B,Allan,286,36,36
1980,B,Jamie,279,37,37
1980,B,Graham,277,38,38
1980,B,Gavin,271,39,39
1980,B,Darren,270,40,40
1980,B,Stewart,231,41,41
1980,B,Gareth,222,42,42
1980,B,Jonathan,214,43,43
1980,B,Daniel,207,44,44
1980,B,Douglas,203,45,45
1980,B,Grant,199,46,46
1980,B,Lee,196,47,47
1980,B,George,189,48,48
1980,B,Joseph,176,49,49
1980,B,Simon,172,50,50
1980,B,Matthew,170,51,51
1980,B,Keith,166,52,52
1980,B,Anthony,163,53,53
1980,B,Fraser,159,54,54
1980,B,Garry,152,55,55
1980,B,Alistair,142,56,56
1980,B,Bryan,133,57,57
1980,B,Philip,128,58,58
1980,B,Adam,125,59,59
1980,B,Sean,124,60,60
1980,B,Duncan,119,61,61
1980,B,Edward,113,62,62
1980,B,Charles,109,63,63
1980,B,Ewan,108,64,64
1980,B,Russell,105,65,65
1980,B,Donald,104,66,66
1980,B,Patrick,103,67,67
1980,B,Alastair,101,68,   68=
1980,B,Euan,101,68,   68=
1980,B,Jason,99,70,   70=
1980,B,Nicholas,99,70,   70=
1980,B,Marc,96,72,72
1980,B,Raymond,95,73,73
1980,B,Malcolm,88,74,74
1980,B,Greig,87,75,75
1980,B,Alasdair,85,76,76
1980,B,Greg,80,77,   77=
1980,B,Liam,80,77,   77=
1980,B,Shaun,75,79,79
1980,B,Francis,69,80,80
1980,B,Ronald,65,81,81
1980,B,Benjamin,60,82,   82=
1980,B,Cameron,60,82,   82=
1980,B,Dean,60,82,   82=
1980,B,Niall,57,85,85
1980,B,Gerard,56,86,86
1980,B,Murray,54,87,   87=
